player_id,player_name,player_team,player_position,player_depth_chart_position
3992,Dave Caldwell,,,
6744,Greg Ward,PHI,WR,
1591,Alvin Bailey,,G,
918,Niles Paul,,TE,
4810,Kwayde Miller,,OT,
4910,Quincy McDuffie,,WR,
663,Benjamin Watson,,TE,
7209,Garrett Taylor,,S,
5385,Alec Bloom,,TE,
1185,Travaris Cadet,,RB,
5843,Devin Bush,SEA,LB,LILB
7719,Jordan Smith,,DE,
5620,Elijaah Goins,,FS,
5212,Hercules Mata'afa,,DE,
4504,John Robinson-Woodgett,,RB,
5567,Janarion Grant,,WR,
6643,Charles Holland,,WR,
11223,John Hall,,WR,
3302,John Theus,,OT,
4234,Noah Brown,HOU,WR,
327,Joe Thomas,,T,
2251,Logan Thomas,WAS,TE,TE
3371,Darius Jackson,,RB,
1077,Travis Benjamin,,WR,
1834,Malcolm Butler,,CB,
8058,Nate McCrary,,RB,
1473,Nick Kasa,,TE,
5646,Tae Davis,ATL,LB,RILB
5033,Dorian O'Daniel,,LB,
6372,Xavier Turner,,RB,
11283,Darius Hagans,,RB,
7945,Chris Garrett,,LB,
5160,A.J. Howard,,SS,
4401,Damore'ea Stringfellow,,WR,
7810,Adetokunbo Ogundeji,ATL,LB,
3736,Arturo Uzdavinis,,OT,
6620,Javien Hamilton,,CB,
7434,Kemah Siverand,,DB,
7038,Darius Anderson,,RB,
6832,Kalija Lipscomb,,WR,
7152,Sam Sloman,,K,
2180,Tyler Starr,,LB,
6700,Marcelias Sutton,,RB,
4237,Marquez White,,CB,
6466,Daryle Banfield,,NT,
6099,B.J. Blunt,,ILB,
1731,Johnnie Troutman,,G,
6978,Reggie Corbin,,RB,
278,Kevin Kolb,,QB,
5014,Joe Noteboom,LAR,OL,LT
4787,Jordan Westerkamp,,WR,
8397,Juanyeh Thomas,DAL,DB,SS
7887,D'Angelo Amos,DET,DB,
6925,Essang Bassey,LAC,CB,LCB
5697,Zach Olstad,,RB,
8721,De'Montre Tuggle,,RB,
402,Victor Butler,,OLB,
4500,Andrew Lauderdale,,OT,
3242,Kenyan Drake,BAL,RB,RB
3309,Wendell Smallwood,WAS,RB,
3140,Todd Monken,,,
1513,Ezekiel Ansah,,DE,
11416,Chris Murray,,OL,
8326,Jermaine Waller,,DB,
4245,Kyle Fuller,,OL,
4917,Daryl Virgies,,RB,
6231,John Lovett,,QB,
2910,Tyler Rutenbeck,,WR,
4093,Marcus Maye,NO,DB,SS
7922,Riley Patterson,DET,K,K
6863,Lavert Hill,,CB,
2757,Micajah Reynolds,,DT,
4720,Dominique Hatfield,,CB,
481,Michael Oher,,T,
7155,Tae Crowder,,LB,
1283,Neiko Thorpe,,CB,
3628,David Moala,,DT,
1653,Josh Kline,,G,
11386,Brandon Kipper,,OL,
6067,Ryan Pope,,OT,
8786,Desmond Noel,,OL,
6520,Larry Williams,,G,
6174,Chris Slayton,GB,DT,
7062,Rodrigo Blankenship,,K,
10216,Kenny McIntosh,SEA,RB,
2438,Mark Glowinski,NYG,G,RG
10999,Josh Hayes,TB,CB,SS
6884,Logan Stenberg,TB,G,
625,Darian Stewart,,FS,
7476,Trevon McSwain,,DT,
11530,Nick Williams,,WR,
2425,Josh Shaw,,SS,
6233,Matt Sokol,NE,TE,
1095,Coty Sensabaugh,,CB,
286,Dwayne Bowe,,WR,
2246,Kelvin Palmer,,G,
2157,Isame Faciane,,G,
47,Jackie Battle,,FB,
5767,Adonis Alexander,NO,DB,
159,Dwight Freeney,,DE,
586,Mike Kafka,,QB,
253,James Jones,,WR,
8876,Kevin Kassis,,WR,
6054,Derrick Baity,,CB,
8036,Zeandae Johnson,,DT,
7338,Cohl Cabral,,C,
8887,Mike Greene,TB,DT,NT
3957,Blake Sims,,QB,
6865,Colby Parkinson,SEA,TE,KR
5493,Charvarius Ward,SF,CB,LCB
311,Brandon Fields,,P,
7756,Khyiris Tonga,MIN,DT,NT
11192,Malik Flowers,,WR,
1126,Brock Osweiler,,QB,
2669,Alani Fua,,LB,
1788,Beau Allen,,NT,
8231,Player Invalid,,RB,
11050,DeMarcco Hellams,ATL,DB,SS
6143,Marvell Tell,,CB,
2971,Anthony Ezeakunne,,TE,
4158,Eddie Jackson,CHI,DB,FS
11550,DaShaun White,,LB,
2417,Arie Kouandjio,,G,
2724,Brandon King,,LB,
1402,Armonty Bryant,,DE,
753,Jason Williams,,OLB,
6562,Blake Camper,,OT,
3684,Derek Keaton,,WR,
2345,Dorial Green-Beckham,,WR,
1987,Marqise Lee,,WR,
7679,Alim McNeill,DET,NT,LDT
2334,Phillip Dorsett,DEN,WR,LWR
338,Andrew Gardner,,G,
6026,Albert Huggins,ATL,DT,NT
2009,Michael Schofield,,T,
9759,C.J. Johnson,,WR,
4754,Duplicate Player,BUF,,
7091,Aaron Parker,,WR,
5623,Mike Love,,DE,
3506,Ryan Malleck,,TE,
6788,Xavier McKinney,NYG,DB,FS
339,Brian Hartline,,WR,
332,Jairus Byrd,,FS,
4936,Skyler Howard,SEA,QB,
5297,Zach Sieler,MIA,DT,LDE
2602,Darius Jennings,,WR,
1965,Zach Kerr,,DE,
5954,Jordan Brailford,,DE,
5460,Kaare Vedvik,,K,
6703,Andrew Wellock,,K,
10868,Leonard Johnson,,CB,
5241,Christian Blake,,WR,
7808,Ben Mason,,FB,
8188,Tyquan Thornton,NE,WR,
4506,Chris Bordelon,,G,
4243,Malachi Dupre,,WR,
667,Steve McLendon,,DT,
MIN,MIN,MIN,DEF,DEF
5990,Terez Hall,,LB,
6504,Ryan Anderson,,P,
4998,DaeSean Hamilton,,WR,
4698,Trey Robinson,,FS,
6513,Joe Lowery,,G,
11115,Terrell Bynum,LAC,WR,
1152,Evan Rodriguez,,TE,
2621,Terron Ward,,RB,
7741,Caleb Huntley,,RB,
2657,John Lowdermilk,,CB,
2991,Dillon Day,,C,
